pid,id,sent_rt,sit_rt,value
[17071541261],4,8059,0,2
[17071541261],0,6040,0,5
[17071541261],20,11283,0,5
[17071541261],13,5442,0,2
[17071541261],16,7999,0,1
[17071541261],3,7476,0,2
[17071541261],8,5956,0,1
[17071541261],9,10635,0,1
[17071541261],22,7319,0,5
[17071541261],18,7954,0,2
[17071541261],6,8898,0,4
[17071541261],10,11211,0,0
[17071541261],15,11049,0,1
[17071541261],5,6161,0,3
[17071541261],21,10473,0,4
[17071541261],17,10379,0,5
[17071541261],7,8352,0,2
[17071541261],1,7945,0,1
[17071541261],12,11838,0,4
[17071541261],14,8648,0,5
[5381967785],19,5139,0,1
[5381967785],12,8994,0,1
[5381967785],20,4579,0,4
[5381967785],5,7952,0,2
[5381967785],1,11616,0,1
[5381967785],6,10564,0,2
[5381967785],15,10262,0,5
[5381967785],16,6392,0,0
[5381967785],2,8928,0,3
[5381967785],9,5031,0,0
[5381967785],21,7318,0,1
[5381967785],0,5065,0,4
[5381967785],13,7380,0,3
[5381967785],4,6967,0,2
[5381967785],17,11965,0,1
[5381967785],8,4930,0,3
[5381967785],10,5503,0,1
[5381967785],18,11720,0,5
[5381967785],7,6694,0,4
[5381967785],11,8631,0,5
[3296399486],6,6664,0,3
[3296399486],2,8541,0,5
[3296399486],8,4675,0,3
[3296399486],12,11944,0,0
[3296399486],11,8540,0,5
[3296399486],15,6689,0,1
[3296399486],0,4031,0,4
[3296399486],5,8308,0,2
[3296399486],7,8263,0,2
[3296399486],18,6627,0,5
[3296399486],3,11728,0,1
[3296399486],19,9352,0,0
[3296399486],4,9019,0,5
[3296399486],9,7509,0,1
[3296399486],22,4324,0,2
[3296399486],17,4784,0,2
[3296399486],16,5469,0,1
[3296399486],10,10081,0,3
[3296399486],20,6625,0,5
[3296399486],21,9410,0,1
[14466721031],16,6171,0,0
[14466721031],0,7508,0,2
[14466721031],9,4093,0,0
[14466721031],11,9214,0,1
[14466721031],1,6908,0,4
[14466721031],14,7149,0,0
[14466721031],18,10520,0,5
[14466721031],22,8836,0,1
[14466721031],7,10313,0,0
[14466721031],20,4537,0,4
[14466721031],15,11991,0,1
[14466721031],13,8670,0,4
[14466721031],2,10371,0,2
[14466721031],4,7210,0,0
[14466721031],8,9654,0,0
[14466721031],17,6366,0,3
[14466721031],12,4093,0,2
[14466721031],10,11198,0,3
[14466721031],6,10482,0,0
[14466721031],3,11907,0,2
[5410810644],9,8115,0,4
[5410810644],2,5336,0,0
[5410810644],4,9944,0,1
[5410810644],20,7446,0,1
[5410810644],13,7960,0,0
[5410810644],12,6067,0,1
[5410810644],3,8516,0,3
[5410810644],18,9370,0,0
[5410810644],21,9793,0,1
[5410810644],11,9991,0,0
[5410810644],0,7420,0,2
[5410810644],15,8467,0,5
[5410810644],16,11458,0,1
[5410810644],8,5947,0,5
[5410810644],1,4528,0,1
[5410810644],19,4922,0,2
[5410810644],6,11809,0,0
[5410810644],22,9775,0,0
[5410810644],5,6100,0,3
[5410810644],7,9657,0,4
[7036675961],1,10601,0,2
[7036675961],13,5763,0,1
[7036675961],20,9461,0,0
[7036675961],9,6622,0,2
[7036675961],18,5649,0,3
[7036675961],7,7389,0,4
[7036675961],3,8336,0,4
[7036675961],16,8602,0,2
[7036675961],15,7862,0,5
[7036675961],4,8392,0,5
[7036675961],17,8849,0,0
[7036675961],0,9415,0,2
[7036675961],11,9544,0,1
[7036675961],2,11193,0,1
[7036675961],8,5857,0,4
[7036675961],5,6201,0,3
[7036675961],14,6971,0,2
[7036675961],22,5604,0,4
[7036675961],21,5415,0,4
[7036675961],10,5597,0,1
[16004243400],15,6098,0,5
[16004243400],12,5908,0,2
[16004243400],3,5870,0,1
[16004243400],18,7671,0,2
[16004243400],7,4623,0,5
[16004243400],5,5665,0,1
[16004243400],19,4727,0,4
[16004243400],20,5937,0,0
[16004243400],13,8770,0,1
[16004243400],2,7645,0,3
[16004243400],17,5184,0,5
[16004243400],9,8477,0,0
[16004243400],22,11199,0,2
[16004243400],0,8096,0,1
[16004243400],6,9211,0,0
[16004243400],11,7055,0,3
[16004243400],8,9112,0,5
[16004243400],21,8782,0,5
[16004243400],4,10022,0,5
[16004243400],1,10139,0,3
[9133203886],5,7619,0,1
[9133203886],18,11383,0,3
[9133203886],8,8426,0,0
[9133203886],9,11230,0,4
[9133203886],12,7961,0,3
[9133203886],17,10183,0,4
[9133203886],0,6259,0,3
[9133203886],7,5571,0,5
[9133203886],16,4148,0,2
[9133203886],20,10609,0,3
[9133203886],13,8242,0,1
[9133203886],6,11840,0,5
[9133203886],14,4593,0,4
[9133203886],1,6766,0,5
[9133203886],10,11379,0,1
[9133203886],2,5755,0,5
[9133203886],22,4892,0,2
[9133203886],15,5893,0,4
[9133203886],19,4000,0,5
[9133203886],3,9355,0,5
[921040677],11,9973,0,0
[921040677],7,9435,0,5
[921040677],17,6041,0,0
[921040677],8,9686,0,5
[921040677],20,11333,0,1
[921040677],10,10970,0,1
[921040677],19,9588,0,2
[921040677],2,8652,0,0
[921040677],18,7648,0,2
[921040677],1,10102,0,3
[921040677],4,6108,0,5
[921040677],6,5998,0,1
[921040677],16,8209,0,3
[921040677],5,6448,0,2
[921040677],12,5577,0,3
[921040677],15,9660,0,5
[921040677],14,4172,0,0
[921040677],0,11558,0,1
[921040677],9,8786,0,1
[921040677],21,6853,0,5
[4264517406],16,5387,0,3
[4264517406],17,5580,0,5
[4264517406],4,4828,0,2
[4264517406],5,6393,0,5
[4264517406],18,8696,0,0
[4264517406],13,10028,0,3
[4264517406],11,6111,0,2
[4264517406],0,5693,0,0
[4264517406],12,6345,0,1
[4264517406],3,9989,0,4
[4264517406],10,7988,0,1
[4264517406],1,10325,0,0
[4264517406],14,7260,0,4
[4264517406],8,11666,0,3
[4264517406],21,5462,0,3
[4264517406],9,6422,0,5
[4264517406],7,10382,0,3
[4264517406],22,4642,0,2
[4264517406],19,9583,0,5
[4264517406],6,11026,0,3
[12993859111],16,10121,0,4
[12993859111],15,11077,0,5
[12993859111],5,11916,0,4
[12993859111],21,10029,0,3
[12993859111],4,11447,0,1
[12993859111],1,5656,0,1
[12993859111],10,8141,0,5
[12993859111],17,9441,0,0
[12993859111],13,11688,0,0
[12993859111],22,8351,0,1
[12993859111],6,10191,0,1
[12993859111],2,6454,0,0
[12993859111],14,10385,0,4
[12993859111],20,4251,0,5
[12993859111],11,5869,0,1
[12993859111],3,5848,0,2
[12993859111],12,8437,0,3
[12993859111],0,10706,0,2
[12993859111],9,4858,0,1
[12993859111],7,7853,0,1
[6059148652],17,11918,0,0
[6059148652],14,9180,0,0
[6059148652],15,5666,0,3
[6059148652],6,9648,0,5
[6059148652],3,9219,0,1
[6059148652],7,9193,0,0
[6059148652],16,8108,0,2
[6059148652],21,7891,0,0
[6059148652],5,7445,0,3
[6059148652],0,6812,0,0
[6059148652],4,5148,0,1
[6059148652],19,9553,0,4
[6059148652],18,11158,0,1
[6059148652],8,4156,0,3
[6059148652],12,10883,0,3
[6059148652],22,9726,0,0
[6059148652],9,4597,0,1
[6059148652],10,10991,0,1
[6059148652],1,4067,0,5
[6059148652],20,6616,0,4
[16840616066],10,11519,0,2
[16840616066],19,9324,0,4
[16840616066],13,8978,0,1
[16840616066],4,10901,0,4
[16840616066],20,7488,0,3
[16840616066],12,8024,0,4
[16840616066],17,7831,0,0
[16840616066],7,4176,0,5
[16840616066],1,11892,0,0
[16840616066],15,10901,0,0
[16840616066],0,9820,0,2
[16840616066],5,9634,0,4
[16840616066],8,9486,0,3
[16840616066],14,11632,0,2
[16840616066],18,9447,0,0
[16840616066],21,9555,0,4
[16840616066],2,6874,0,4
[16840616066],6,11860,0,0
[16840616066],3,7410,0,1
[16840616066],22,5484,0,5
[9568879499],9,4633,0,4
[9568879499],6,6896,0,2
[9568879499],0,8951,0,5
[9568879499],14,5943,0,3
[9568879499],11,11655,0,1
[9568879499],2,5702,0,2
[9568879499],10,10470,0,3
[9568879499],4,9810,0,3
[9568879499],15,7904,0,2
[9568879499],22,4052,0,1
[9568879499],12,10782,0,5
[9568879499],8,9309,0,4
[9568879499],16,8334,0,1
[9568879499],5,9873,0,3
[9568879499],17,4801,0,3
[9568879499],3,4701,0,0
[9568879499],1,9683,0,2
[9568879499],13,4604,0,0
[9568879499],19,11013,0,3
[9568879499],20,8163,0,3
[10912668894],13,9021,0,4
[10912668894],21,4928,0,5
[10912668894],17,10191,0,0
[10912668894],5,4841,0,0
[10912668894],14,5105,0,1
[10912668894],6,10702,0,0
[10912668894],10,5595,0,0
[10912668894],7,11689,0,2
[10912668894],22,5920,0,5
[10912668894],8,8740,0,4
[10912668894],0,9916,0,0
[10912668894],15,7785,0,4
[10912668894],16,11322,0,3
[10912668894],3,11543,0,0
[10912668894],19,6939,0,4
[10912668894],2,10343,0,2
[10912668894],12,8226,0,3
[10912668894],1,7360,0,1
[10912668894],4,9968,0,5
[10912668894],11,4926,0,2
[9819780943],17,5171,0,5
[9819780943],19,9228,0,0
[9819780943],2,11133,0,4
[9819780943],22,7171,0,3
[9819780943],6,5755,0,4
[9819780943],21,10961,0,0
[9819780943],1,4013,0,3
[9819780943],13,5526,0,3
[9819780943],8,4189,0,5
[9819780943],12,8640,0,0
[9819780943],3,10967,0,3
[9819780943],5,5118,0,2
[9819780943],9,5500,0,0
[9819780943],14,5612,0,2
[9819780943],11,11742,0,5
[9819780943],0,11054,0,2
[9819780943],15,7323,0,2
[9819780943],4,10810,0,1
[9819780943],7,7621,0,3
[9819780943],20,4916,0,1
[16011212780],0,4980,0,5
[16011212780],19,9916,0,3
[16011212780],20,4238,0,1
[16011212780],17,10387,0,3
[16011212780],3,6397,0,2
[16011212780],4,7822,0,1
[16011212780],5,9883,0,3
[16011212780],22,6139,0,1
[16011212780],16,8000,0,0
[16011212780],7,10578,0,5
[16011212780],21,5213,0,5
[16011212780],8,4053,0,3
[16011212780],15,7122,0,3
[16011212780],10,6881,0,5
[16011212780],18,8756,0,2
[16011212780],2,6871,0,5
